cocktail_id,cocktail_name,num_ingredients,ingredients,alcoholic,sugary_score,acidic,caffiene,category,glass,price
12091,Rum Screwdriver,2,"Light rum, Orange juice",True,1,False,False,Ordinary Drink,Highball glass,11.22
11844,New York Sour,6,"Blended whiskey, Lemon, Sugar, Red wine, Lemon, Cherry",True,1,True,False,Ordinary Drink,Whiskey sour glass,13.13
11600,Kamikaze,3,"Vodka, Triple sec, Lime juice",True,1,False,False,Ordinary Drink,Cocktail glass,11.29
11936,Pink Gin,2,"Bitters, Gin",True,0,False,False,Ordinary Drink,White wine glass,11.36
13751,Cuba Libra,4,"Dark rum, Lime, Coca-Cola, Ice",True,1,True,False,Ordinary Drink,Highball glass,11.89
13625,Screaming Orgasm,3,"Vodka, Baileys irish cream, Kahlua",True,3,False,False,Ordinary Drink,Cocktail glass,15.1
15226,Space Odyssey,6,"151 proof rum, Malibu rum, Pineapple juice, Orange juice, Grenadine, Cherries",True,3,False,False,Ordinary Drink,Highball glass,14.48
11420,Gin Toddy,4,"Gin, Water, Powdered sugar, Lemon peel",True,1,False,False,Ordinary Drink,Old-fashioned glass,13.26
16031,Radler,2,"Beer, 7-Up",True,0,False,False,Ordinary Drink,Highball glass,11.32
13070,Fahrenheit 5000,3,"Firewater, Absolut Peppar, Tabasco sauce",True,0,False,False,Shot,Shot glass,12.25
11102,Black Russian,2,"Coffee liqueur, Vodka",True,1,False,False,Ordinary Drink,Old-fashioned glass,11.96
11052,Archbishop,4,"Gin, Wine, Benedictine, Lime",True,0,True,False,Ordinary Drink,Old-fashioned glass,15.58
11025,Amaretto And Cream,2,"Amaretto, Light cream",True,1,False,False,Ordinary Drink,Cocktail glass,12.77
12798,Coffee Liqueur,5,"Coffee, Vanilla extract, Sugar, Vodka, Water",True,2,False,True,Homemade Liqueur,Collins Glass,14.2
13775,Jelly Bean,2,"Blackberry brandy, Anis",True,0,False,False,Shot,Cordial glass,11.83
178353,Apple Highball,4,"Lime, Apple Schnapps, Cognac, Ginger",True,0,True,False,Cocktail,Highball glass,12.21
178315,Munich Mule,5,"Gin, Lime Juice, Ginger Beer, Cucumber, lemon",True,0,False,False,Cocktail,Highball glass,13.09
11368,Flying Dutchman,2,"Gin, Triple sec",True,0,False,False,Ordinary Drink,Old-fashioned glass,10.26
13501,ABC,3,"Amaretto, Baileys irish cream, Cognac",True,2,False,False,Shot,Shot glass,13.48
17183,Bacardi Cocktail,4,"Light rum, Lime juice, Sugar syrup, Grenadine",True,1,False,False,Ordinary Drink,Cocktail glass,13.43
12720,Kill the cold Smoothie,3,"Ginger, Lemon, Water",False,0,True,False,Other / Unknown,Highball glass,9.37
11145,Classic Old-Fashioned,6,"Bitters, Water, Sugar, Bourbon, Orange, Maraschino cherry",True,1,True,False,Ordinary Drink,Old-fashioned glass,13.35
17168,Amaretto Sunset,4,"Triple sec, Amaretto, Cider, Ice",True,1,False,False,Ordinary Drink,Collins Glass,15.43
12130,Scooter,3,"Brandy, Amaretto, Light cream",True,2,False,False,Ordinary Drink,Cocktail glass,13.34
12694,Lassi Raita,5,"Yoghurt, Ice, Sugar, Lime, Salt",False,1,True,False,Other / Unknown,Highball Glass,9.51
17108,Coke and Drops,2,"Coca-Cola, Lemon juice",False,1,False,False,Soft Drink,Cocktail glass,7.14
13899,3 Wise Men,3,"Jack Daniels, Johnnie Walker, Jim Beam",True,0,False,False,Shot,Collins glass,11.96
16967,Vodka Fizz,5,"Vodka, Half-and-half, Limeade, Ice, Nutmeg",True,1,False,False,Other / Unknown,White wine glass,13.83
11054,Arthur Tompkins,4,"Gin, Grand Marnier, Lemon juice, Lemon peel",True,1,False,False,Ordinary Drink,Whiskey sour glass,14.25
14272,Addison Special,3,"Vodka, Grenadine, Orange juice",True,3,False,False,Cocktail,Old-fashioned glass,12.06
12190,Sherry Flip,5,"Sherry, Light cream, Powdered sugar, Egg, Nutmeg",True,2,False,False,Ordinary Drink,Nick and Nora Glass,14.05
12864,Apple Cider Punch,8,"Apple cider, Brown sugar, Lemonade, Orange juice, Cloves, Allspice, Nutmeg, Cinnamon",False,2,False,False,Punch / Party Drink,Collins Glass,11.73
